Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
аппетит	_	N.Masc.Inan	A1	MiP, LM	1	аппетит	Acc.Sing	_	_	_	_
аппетит	_	N.Masc.Inan	A1	MiP, LM	2	аппетиты	Nom.Plur	_	_	_	_
аппетит	_	N.Masc.Inan	A1	MiP, LM	3	аппетитом	Ins.Sing	_	_	_	_
багаж	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	багажа	Gen.Sing	_	_	_	_
багаж	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	багаж	Nom.Sing	_	_	_	_
багаж	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	багажом	Ins.Sing	_	_	_	_
бег	_	N.Masc.Inan	A1	LM	1	бегу	Loc.Sing	_	_	_	_
бег	_	N.Masc.Inan	A1	LM	2	бега	Gen.Sing	_	_	_	_
бег	_	N.Masc.Inan	A1	LM	3	беге	Loc.Sing	_	_	_	_
бегать	_	V	A1	Golosa, LM, МН	1	бегали	Plur.Past	_	_	_	_
бегать	_	V	A1	Golosa, LM, МН	2	бегать	Inf	_	_	_	_
бегать	_	V	A1	Golosa, LM, МН	3	бегала	Fem.Sing.Past	_	_	_	_
бежать	_	V	A1	LM	1	бежать	Inf	_	_	_	_
бежать	_	V	A1	LM	2	бежит	Sing.3.Pres/Fut	_	_	_	_
бежать	_	V	A1	LM	3	бежал	Masc.Sing.Past	_	_	_	_
берег	_	N.Masc.Inan	A1	LM	1	берегу	Loc.Sing	_	_	_	_
берег	_	N.Masc.Inan	A1	LM	2	берег	Acc.Sing	_	_	_	_
берег	_	N.Masc.Inan	A1	LM	3	берега	Gen.Sing	_	_	_	_
беречь	_	V	A1	LM	1	беречь	Inf	_	_	_	_
беречь	_	V	A1	LM	2	берёг	Masc.Sing.Past	_	_	_	_
беречь	_	V	A1	LM	3	берегла	Fem.Sing.Past	_	_	_	_
беседовать	_	V	A1	LM	1	беседовали	Plur.Past	_	_	_	_
беседовать	_	V	A1	LM	2	беседуем	Plur.1.Pres/Fut	_	_	_	_
беседовать	_	V	A1	LM	3	беседовать	Inf	_	_	_	_
бесплатный	_	A	A1	LM	1	бесплатного	Gen.Masc.Sing	_	_	_	_
бесплатный	_	A	A1	LM	2	бесплатная	Nom.Fem.Sing	_	_	_	_
бесплатный	_	A	A1	LM	3	бесплатной	Gen.Fem.Sing	_	_	_	_
бесплатный	_	A	A1	Golosa	1	бесплатного	Gen.Masc.Sing	_	_	_	_
бесплатный	_	A	A1	Golosa	2	бесплатная	Nom.Fem.Sing	_	_	_	_
бесплатный	_	A	A1	Golosa	3	бесплатной	Gen.Fem.Sing	_	_	_	_
биография	_	N.Fem.Inan	A1	LM	1	биография	Nom.Sing	_	_	_	_
биография	_	N.Fem.Inan	A1	LM	2	биографии	Gen.Sing	_	_	_	_
биография	_	N.Fem.Inan	A1	LM	3	биографию	Acc.Sing	_	_	_	_
бить	_	V	A1	LM	1	бьёт	Sing.3.Pres/Fut	_	_	_	_
бить	_	V	A1	LM	2	бить	Inf	_	_	_	_
бить	_	V	A1	LM	3	бил	Masc.Sing.Past	_	_	_	_
благодарить	_	V	A1	LM	1	благодарю	Sing.1.Pres/Fut	_	_	_	_
благодарить	_	V	A1	LM	2	благодарит	Sing.3.Pres/Fut	_	_	_	_
благодарить	_	V	A1	LM	3	благодарил	Masc.Sing.Past	_	_	_	_
бог	_	N.Masc.Anim	A1	MiP, LM	1	бог	Nom.Sing	_	_	_	_
бог	_	N.Masc.Anim	A1	MiP, LM	2	богу	Dat.Sing	_	_	_	_
бог	_	N.Masc.Anim	A1	MiP, LM	3	бога	Gen.Sing	_	_	_	_
больница	_	N.Fem.Inan	A1	Golosa, LM	1	больнице	Loc.Sing	_	_	_	_
больница	_	N.Fem.Inan	A1	Golosa, LM	2	больницу	Acc.Sing	_	_	_	_
больница	_	N.Fem.Inan	A1	Golosa, LM	3	больницы	Gen.Sing	_	_	_	_
булочка	_	N.Fem.Inan	A1	Golosa, MiP, LM, МН	1	булочки	Nom.Plur	_	_	_	_
бумага	_	N.Fem.Inan	A1	LM	1	бумаги	Gen.Sing	_	_	_	_
бумага	_	N.Fem.Inan	A1	LM	2	бумагу	Acc.Sing	_	_	_	_
бумага	_	N.Fem.Inan	A1	LM	3	бумаге	Loc.Sing	_	_	_	_
бутерброд	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	бутерброды	Acc.Plur	_	_	_	_
бутерброд	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	бутербродах	Loc.Plur	_	_	_	_
бутерброд	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	бутербродами	Ins.Plur	_	_	_	_
бутылка	_	N.Fem.Inan	A1	Golosa, MiP, LM	1	бутылку	Acc.Sing	_	_	_	_
бутылка	_	N.Fem.Inan	A1	Golosa, MiP, LM	2	бутылки	Gen.Sing	_	_	_	_
бутылка	_	N.Fem.Inan	A1	Golosa, MiP, LM	3	бутылок	Gen.Plur	_	_	_	_
бывать	_	V	A1	Golosa, MiP, LM, МН	1	бывает	Sing.3.Pres/Fut	_	_	_	_
бывать	_	V	A1	Golosa, MiP, LM, МН	2	бывают	Plur.3.Pres/Fut	_	_	_	_
бывать	_	V	A1	Golosa, MiP, LM, МН	3	бывало	Neut.Sing.Past	_	_	_	_
быстрый	_	A	A1	Golosa, LM	1	быстрого	Gen.Neut.Sing	_	_	_	_
быстрый	_	A	A1	Golosa, LM	2	быстрое	Nom.Neut.Sing	_	_	_	_
быстрый	_	A	A1	Golosa, LM	3	быстрой	Gen.Fem.Sing	_	_	_	_
важный	_	A	A1	Golosa, LM	1	важно	Neut.Sing	_	_	_	_
важный	_	A	A1	Golosa, LM	2	важное	Nom.Neut.Sing	_	_	_	_
важный	_	A	A1	Golosa, LM	3	важную	Acc.Fem.Sing	_	_	_	_
варить	_	V	A1	LM	1	варить	Inf	_	_	_	_
варить	_	V	A1	LM	2	варят	Plur.3.Pres/Fut	_	_	_	_
варить	_	V	A1	LM	3	варили	Plur.Past	_	_	_	_
везти	_	V	A1	LM, Поехали	1	везёт	Sing.3.Pres/Fut	_	_	_	_
везти	_	V	A1	LM, Поехали	2	везли	Plur.Past	_	_	_	_
везти	_	V	A1	LM, Поехали	3	везло	Neut.Sing.Past	_	_	_	_
вера	_	N.Fem.Inan	A1	LM	1	вера	Nom.Sing	_	_	_	_
вера	_	N.Fem.Inan	A1	LM	2	веры	Gen.Sing	_	_	_	_
вера	_	N.Fem.Inan	A1	LM	3	веру	Acc.Sing	_	_	_	_
верить	_	V	A1	LM, МН	1	верить	Inf	_	_	_	_
верить	_	V	A1	LM, МН	2	верю	Sing.1.Pres/Fut	_	_	_	_
верить	_	V	A1	LM, МН	3	верит	Sing.3.Pres/Fut	_	_	_	_
вернуть	_	V	A1	MiP, LM	1	вернуть	Inf	_	_	_	_
вернуть	_	V	A1	MiP, LM	2	вернули	Plur.Past	_	_	_	_
вернуть	_	V	A1	MiP, LM	3	вернула	Fem.Sing.Past	_	_	_	_
вернуться	_	V	A1	MiP, LM, МН	1	вернулся	Masc.Sing.Past	_	_	_	_
вернуться	_	V	A1	MiP, LM, МН	2	вернуться	Inf	_	_	_	_
вернуться	_	V	A1	MiP, LM, МН	3	вернулись	Plur.Past	_	_	_	_
весенний	_	A	A1	LM	1	весеннего	Gen.Masc.Sing	_	_	_	_
весенний	_	A	A1	LM	2	весенний	Nom.Masc.Sing	_	_	_	_
весенний	_	A	A1	LM	3	весеннюю	Acc.Fem.Sing	_	_	_	_
ветер	_	N.Masc.Inan	A1	Golosa, LM	1	ветер	Nom.Sing	_	_	_	_
ветер	_	N.Masc.Inan	A1	Golosa, LM	2	ветра	Gen.Sing	_	_	_	_
ветер	_	N.Masc.Inan	A1	Golosa, LM	3	ветром	Ins.Sing	_	_	_	_
вещь	_	N.Fem.Inan	A1	Golosa, LM, Поехали	1	вещей	Gen.Plur	_	_	_	_
вещь	_	N.Fem.Inan	A1	Golosa, LM, Поехали	2	вещи	Acc.Plur	_	_	_	_
вещь	_	N.Fem.Inan	A1	Golosa, LM, Поехали	3	вещь	Nom.Sing	_	_	_	_
вид	_	N.Masc.Inan	A1	Golosa, MiP, LM	1	виде	Loc.Sing	_	_	_	_
вид	_	N.Masc.Inan	A1	Golosa, MiP, LM	2	виду	Loc.Sing	_	_	_	_
вид	_	N.Masc.Inan	A1	Golosa, MiP, LM	3	видов	Gen.Plur	_	_	_	_
вилка	_	N.Fem.Inan	A1	LM, МН	1	вилкой	Ins.Sing	_	_	_	_
вилка	_	N.Fem.Inan	A1	LM, МН	2	вилок	Gen.Plur	_	_	_	_
вилка	_	N.Fem.Inan	A1	LM, МН	3	вилку	Acc.Sing	_	_	_	_
висеть	_	V	A1	Golosa, LM, МН	1	висит	Sing.3.Pres/Fut	_	_	_	_
висеть	_	V	A1	Golosa, LM, МН	2	висел	Masc.Sing.Past	_	_	_	_
висеть	_	V	A1	Golosa, LM, МН	3	висела	Fem.Sing.Past	_	_	_	_
включать	_	V	A1	Golosa, LM, МН	1	включает	Sing.3.Pres/Fut	_	_	_	_
включать	_	V	A1	Golosa, LM, МН	2	включать	Inf	_	_	_	_
включать	_	V	A1	Golosa, LM, МН	3	включают	Plur.3.Pres/Fut	_	_	_	_
включить	_	V	A1	МН	1	включить	Inf	_	_	_	_
включить	_	A	A1	МН	2	включены	Plur	_	_	_	_
включить	_	V	A1	МН	3	включил	Masc.Sing.Past	_	_	_	_
вкусный	_	A	A1	Golosa, MiP, LM, МН	1	вкусно	Neut.Sing	_	_	_	_
вкусный	_	A	A1	Golosa, MiP, LM, МН	2	вкусные	Nom.Plur	_	_	_	_
вкусный	_	A	A1	Golosa, MiP, LM, МН	3	вкусны	Plur	_	_	_	_
власть	_	N.Fem.Inan	A1	LM	1	власти	Gen.Sing	_	_	_	_
власть	_	N.Fem.Inan	A1	LM	2	власть	Nom.Sing	_	_	_	_
власть	_	N.Fem.Inan	A1	LM	3	властей	Gen.Plur	_	_	_	_
внимание	_	N.Neut.Inan	A1	Golosa, LM	1	внимание	Acc.Sing	_	_	_	_
внимание	_	N.Neut.Inan	A1	Golosa, LM	2	внимания	Gen.Sing	_	_	_	_
внимание	_	N.Neut.Inan	A1	Golosa, LM	3	вниманием	Ins.Sing	_	_	_	_
внимательный	_	A	A1	LM	1	внимательны	Plur	_	_	_	_
внимательный	_	A	A1	LM	2	внимательные	Nom.Plur	_	_	_	_
внимательный	_	A	A1	LM	3	внимательными	Ins.Plur	_	_	_	_
водить	_	V	A1	LM, Поехали	1	водит	Sing.3.Pres/Fut	_	_	_	_
водить	_	V	A1	LM, Поехали	2	водил	Masc.Sing.Past	_	_	_	_
водить	_	V	A1	LM, Поехали	3	водя	Pres/Fut	_	_	_	_
водка	_	N.Fem.Inan	A1	MiP, LM, МН	1	водки	Gen.Sing	_	_	_	_
водка	_	N.Fem.Inan	A1	MiP, LM, МН	2	водку	Acc.Sing	_	_	_	_
водка	_	N.Fem.Inan	A1	MiP, LM, МН	3	водка	Nom.Sing	_	_	_	_
возвращать	_	V	A1	LM	1	возвращают	Plur.3.Pres/Fut	_	_	_	_
возвращать	_	V	A1	LM	2	возвращает	Sing.3.Pres/Fut	_	_	_	_
возвращать	_	V	A1	LM	3	возвращать	Inf	_	_	_	_
возвращаться	_	V	A1	Golosa, MiP, LM	1	возвращается	Sing.3.Pres/Fut	_	_	_	_
возвращаться	_	V	A1	Golosa, MiP, LM	2	возвращаться	Inf	_	_	_	_
возвращаться	_	V	A1	Golosa, MiP, LM	3	возвращаясь	Pres/Fut	_	_	_	_
воздух	_	N.Masc.Inan	A1	LM, Поехали	1	воздуха	Gen.Sing	_	_	_	_
воздух	_	N.Masc.Inan	A1	LM, Поехали	2	воздухе	Loc.Sing	_	_	_	_
воздух	_	N.Masc.Inan	A1	LM, Поехали	3	воздух	Nom.Sing	_	_	_	_
возить	_	V	A1	LM, Поехали	1	возить	Inf	_	_	_	_
возить	_	V	A1	LM, Поехали	2	возила	Fem.Sing.Past	_	_	_	_
возить	_	V	A1	LM, Поехали	3	возили	Plur.Past	_	_	_	_
возраст	_	N.Masc.Inan	A1	Golosa, LM	1	возрасте	Loc.Sing	_	_	_	_
возраст	_	N.Masc.Inan	A1	Golosa, LM	2	возраста	Gen.Sing	_	_	_	_
возраст	_	N.Masc.Inan	A1	Golosa, LM	3	возраст	Nom.Sing	_	_	_	_
война	_	N.Fem.Inan	A1	MiP, LM	1	войны	Gen.Sing	_	_	_	_
война	_	N.Fem.Inan	A1	MiP, LM	2	война	Nom.Sing	_	_	_	_
война	_	N.Fem.Inan	A1	MiP, LM	3	войну	Acc.Sing	_	_	_	_
войти	_	V	A1	MiP	1	вошли	Plur.Past	_	_	_	_
войти	_	V	A1	MiP	2	вошёл	Masc.Sing.Past	_	_	_	_
войти	_	V	A1	MiP	3	войти	Inf	_	_	_	_
волноваться	_	V	A1	Golosa, LM	1	волноваться	Inf	_	_	_	_
волноваться	_	V	A1	Golosa, LM	2	волнуйся	Imper.Sing.2	_	_	_	_
волноваться	_	V	A1	Golosa, LM	3	волнуется	Sing.3.Pres/Fut	_	_	_	_
волос	_	N.Masc.Inan	A1	LM	1	волосы	Acc.Plur	_	_	_	_
волос	_	N.Masc.Inan	A1	LM	2	волос	Gen.Plur	_	_	_	_
волос	_	N.Masc.Inan	A1	LM	3	волосами	Ins.Plur	_	_	_	_
восток	_	N.Masc.Inan	A1	Golosa, LM, МН	1	востока	Gen.Sing	_	_	_	_
восток	_	N.Masc.Inan	A1	Golosa, LM, МН	2	востоке	Loc.Sing	_	_	_	_
восток	_	N.Masc.Inan	A1	Golosa, LM, МН	3	восток	Nom.Sing	_	_	_	_
восточный	_	A	A1	LM, МН	1	восточных	Gen.Plur	_	_	_	_
восточный	_	A	A1	LM, МН	2	восточные	Nom.Plur	_	_	_	_
восточный	_	A	A1	LM, МН	3	восточной	Gen.Fem.Sing	_	_	_	_
враг	_	N.Masc.Anim	A1	LM	1	враг	Nom.Sing	_	_	_	_
враг	_	N.Masc.Anim	A1	LM	2	врага	Gen.Sing	_	_	_	_
враг	_	N.Masc.Anim	A1	LM	3	враги	Nom.Plur	_	_	_	_
вспоминать	_	V	A1	LM	1	вспоминать	Inf	_	_	_	_
вспоминать	_	V	A1	LM	2	вспоминаю	Sing.1.Pres/Fut	_	_	_	_
вспоминать	_	V	A1	LM	3	вспоминает	Sing.3.Pres/Fut	_	_	_	_
вспомнить	_	V	A1	LM	1	вспомнить	Inf	_	_	_	_
вспомнить	_	V	A1	LM	2	вспомнил	Masc.Sing.Past	_	_	_	_
вспомнить	_	V	A1	LM	3	вспомнили	Plur.Past	_	_	_	_
вставать	_	V	A1	Golosa, MiP, LM, МН	1	встаёт	Sing.3.Pres/Fut	_	_	_	_
вставать	_	V	A1	Golosa, MiP, LM, МН	2	вставать	Inf	_	_	_	_
вставать	_	V	A1	Golosa, MiP, LM, МН	3	вставала	Fem.Sing.Past	_	_	_	_
встреча	_	N.Fem.Inan	A1	LM	1	встречи	Gen.Sing	_	_	_	_
встреча	_	N.Fem.Inan	A1	LM	2	встреча	Nom.Sing	_	_	_	_
встреча	_	N.Fem.Inan	A1	LM	3	встреч	Gen.Plur	_	_	_	_
встречаться	_	V	A1	Golosa, LM	1	встречаются	Plur.3.Pres/Fut	_	_	_	_
встречаться	_	V	A1	Golosa, LM	2	встречается	Sing.3.Pres/Fut	_	_	_	_
встречаться	_	V	A1	Golosa, LM	3	встречались	Plur.Past	_	_	_	_
второй	_	A	A1	Golosa, MiP, LM	1	второй	Nom.Masc.Sing	_	_	_	_
второй	_	A	A1	Golosa, MiP, LM	2	вторая	Nom.Fem.Sing	_	_	_	_
второй	_	A	A1	Golosa, MiP, LM	3	втором	Loc.Masc.Sing	_	_	_	_
входить	_	V	A1	Golosa, MiP, LM	1	входит	Sing.3.Pres/Fut	_	_	_	_
входить	_	V	A1	Golosa, MiP, LM	2	входят	Plur.3.Pres/Fut	_	_	_	_
входить	_	V	A1	Golosa, MiP, LM	3	входил	Masc.Sing.Past	_	_	_	_
вчерашний	_	A	A1	LM	1	вчерашнего	Gen.Neut.Sing	_	_	_	_
вчерашний	_	A	A1	LM	2	вчерашней	Gen.Fem.Sing	_	_	_	_
вчерашний	_	A	A1	LM	3	вчерашних	Gen.Plur	_	_	_	_
выбирать	_	V	A1	LM	1	выбирать	Inf	_	_	_	_
выбирать	_	V	A1	LM	2	выбирает	Sing.3.Pres/Fut	_	_	_	_
выбирать	_	V	A1	LM	3	выбирая	Pres/Fut	_	_	_	_
выйти	_	V	A1	MiP	1	вышел	Masc.Sing.Past	_	_	_	_
выйти	_	V	A1	MiP	2	вышла	Fem.Sing.Past	_	_	_	_
выйти	_	V	A1	MiP	3	выйти	Inf	_	_	_	_
выступать	_	V	A1	Golosa, LM	1	выступает	Sing.3.Pres/Fut	_	_	_	_
выступать	_	V	A1	Golosa, LM	2	выступать	Inf	_	_	_	_
выступать	_	V	A1	Golosa, LM	3	выступают	Plur.3.Pres/Fut	_	_	_	_
выходить	_	V	A1	Golosa, MiP, LM	1	выходит	Sing.3.Pres/Fut	_	_	_	_
выходить	_	V	A1	Golosa, MiP, LM	2	выходят	Plur.3.Pres/Fut	_	_	_	_
выходить	_	V	A1	Golosa, MiP, LM	3	выходить	Inf	_	_	_	_
галерея	_	N.Fem.Inan	A1	Golosa, LM	1	галерею	Acc.Sing	_	_	_	_
галерея	_	N.Fem.Inan	A1	Golosa, LM	2	галерее	Loc.Sing	_	_	_	_
галерея	_	N.Fem.Inan	A1	Golosa, LM	3	галереях	Loc.Plur	_	_	_	_
герой	_	N.Masc.Anim	A1	LM	1	герой	Nom.Sing	_	_	_	_
герой	_	N.Masc.Anim	A1	LM	2	героев	Gen.Plur	_	_	_	_
герой	_	N.Masc.Anim	A1	LM	3	героя	Gen.Sing	_	_	_	_
главный	_	A	A1	Golosa, LM	1	главный	Nom.Masc.Sing	_	_	_	_
главный	_	A	A1	Golosa, LM	2	главным	Ins.Masc.Sing	_	_	_	_
главный	_	A	A1	Golosa, LM	3	главных	Gen.Plur	_	_	_	_
глубокий	_	A	A1	LM	1	глубокой	Gen.Fem.Sing	_	_	_	_
глубокий	_	A	A1	LM	2	глубокая	Nom.Fem.Sing	_	_	_	_
глубокий	_	A	A1	LM	3	глубокого	Gen.Neut.Sing	_	_	_	_
глупый	_	A	A1	Golosa, LM, Кс	1	глупая	Nom.Fem.Sing	_	_	_	_
глупый	_	A	A1	Golosa, LM, Кс	2	глупый	Nom.Masc.Sing	_	_	_	_
глупый	_	A	A1	Golosa, LM, Кс	3	глупые	Nom.Plur	_	_	_	_
голос	_	N.Masc.Inan	A1	Golosa, LM	1	голос	Nom.Sing	_	_	_	_
голос	_	N.Masc.Inan	A1	Golosa, LM	2	голосом	Ins.Sing	_	_	_	_
голос	_	N.Masc.Inan	A1	Golosa, LM	3	голосов	Gen.Plur	_	_	_	_
гора	_	N.Fem.Inan	A1	Golosa, LM	1	гору	Acc.Sing	_	_	_	_
гора	_	N.Fem.Inan	A1	Golosa, LM	2	горы	Acc.Plur	_	_	_	_
гора	_	N.Fem.Inan	A1	Golosa, LM	3	гор	Gen.Plur	_	_	_	_
горький	_	A	A1	LM	1	горько	Neut.Sing	_	_	_	_
горький	_	A	A1	LM	2	горькой	Gen.Fem.Sing	_	_	_	_
горький	_	A	A1	LM	3	горькая	Nom.Fem.Sing	_	_	_	_
государство	_	N.Neut.Inan	A1	LM	1	государства	Gen.Sing	_	_	_	_
государство	_	N.Neut.Inan	A1	LM	2	государство	Nom.Sing	_	_	_	_
государство	_	N.Neut.Inan	A1	LM	3	государств	Gen.Plur	_	_	_	_
готовить	_	V	A1	Golosa, MiP, LM	1	готовят	Plur.3.Pres/Fut	_	_	_	_
готовить	_	V	A1	Golosa, MiP, LM	2	готовить	Inf	_	_	_	_
готовить	_	V	A1	Golosa, MiP, LM	3	готовит	Sing.3.Pres/Fut	_	_	_	_
градус	_	N.Masc.Inan	A1	Golosa, MiP, LM	1	градусов	Gen.Plur	_	_	_	_
градус	_	N.Masc.Inan	A1	Golosa, MiP, LM	2	градуса	Gen.Sing	_	_	_	_
градус	_	N.Masc.Inan	A1	Golosa, MiP, LM	3	град	Gen.Plur	_	_	_	_
грамматика	_	N.Fem.Inan	A1	Golosa, LM	1	грамматики	Gen.Sing	_	_	_	_
грамматика	_	N.Fem.Inan	A1	Golosa, LM	2	грамматику	Acc.Sing	_	_	_	_
грамматика	_	N.Fem.Inan	A1	Golosa, LM	3	грамматикой	Ins.Sing	_	_	_	_
граница	_	N.Fem.Inan	A1	LM	1	границей	Ins.Sing	_	_	_	_
граница	_	N.Fem.Inan	A1	LM	2	границу	Acc.Sing	_	_	_	_
граница	_	N.Fem.Inan	A1	LM	3	границ	Gen.Plur	_	_	_	_
грипп	_	N.Masc.Inan	A1	Golosa, MiP, LM, Поехали, Кс	1	гриппа	Gen.Sing	_	_	_	_
грипп	_	N.Masc.Inan	A1	Golosa, MiP, LM, Поехали, Кс	2	гриппом	Ins.Sing	_	_	_	_
грустный	_	A	A1	Golosa, LM	1	грустный	Nom.Masc.Sing	_	_	_	_
грустный	_	A	A1	Golosa, LM	2	грустные	Nom.Plur	_	_	_	_
грустный	_	A	A1	Golosa, LM	3	грустно	Neut.Sing	_	_	_	_
грязный	_	A	A1	LM	1	грязная	Nom.Fem.Sing	_	_	_	_
грязный	_	A	A1	LM	2	грязные	Nom.Plur	_	_	_	_
грязный	_	A	A1	LM	3	грязную	Acc.Fem.Sing	_	_	_	_
далекий	_	A	A1	LM	1	далёкие	Nom.Plur	_	_	_	_
далекий	_	A	A1	LM	2	далёких	Gen.Plur	_	_	_	_
далекий	_	A	A1	LM	3	далёкой	Loc.Fem.Sing	_	_	_	_
дата	_	N.Fem.Inan	A1	LM	1	даты	Gen.Sing	_	_	_	_
дата	_	N.Fem.Inan	A1	LM	2	дата	Nom.Sing	_	_	_	_
дата	_	N.Fem.Inan	A1	LM	3	датой	Ins.Sing	_	_	_	_
деревня	_	N.Fem.Inan	A1	LM	1	деревне	Loc.Sing	_	_	_	_
деревня	_	N.Fem.Inan	A1	LM	2	деревню	Acc.Sing	_	_	_	_
деревня	_	N.Fem.Inan	A1	LM	3	деревня	Nom.Sing	_	_	_	_
дерево	_	N.Neut.Inan	A1	LM	1	деревьев	Gen.Plur	_	_	_	_
дерево	_	N.Neut.Inan	A1	LM	2	дерева	Gen.Sing	_	_	_	_
дерево	_	N.Neut.Inan	A1	LM	3	деревья	Nom.Plur	_	_	_	_
держать	_	V	A1	MiP, LM	1	держать	Inf	_	_	_	_
держать	_	V	A1	MiP, LM	2	держал	Masc.Sing.Past	_	_	_	_
держать	_	V	A1	MiP, LM	3	держит	Sing.3.Pres/Fut	_	_	_	_
детство	_	N.Neut.Inan	A1	LM	1	детстве	Loc.Sing	_	_	_	_
детство	_	N.Neut.Inan	A1	LM	2	детства	Gen.Sing	_	_	_	_
детство	_	N.Neut.Inan	A1	LM	3	детство	Acc.Sing	_	_	_	_
диалог	_	N.Masc.Inan	A1	Golosa, MiP, LM	1	диалога	Gen.Sing	_	_	_	_
диалог	_	N.Masc.Inan	A1	Golosa, MiP, LM	2	диалоге	Loc.Sing	_	_	_	_
диалог	_	N.Masc.Inan	A1	Golosa, MiP, LM	3	диалог	Nom.Sing	_	_	_	_
диван	_	N.Masc.Inan	A1	Golosa, MiP, LM	1	диване	Loc.Sing	_	_	_	_
диван	_	N.Masc.Inan	A1	Golosa, MiP, LM	2	диван	Acc.Sing	_	_	_	_
диван	_	N.Masc.Inan	A1	Golosa, MiP, LM	3	дивана	Gen.Sing	_	_	_	_
длинный	_	A	A1	Golosa, LM	1	длинными	Ins.Plur	_	_	_	_
длинный	_	A	A1	Golosa, LM	2	длинный	Nom.Masc.Sing	_	_	_	_
длинный	_	A	A1	Golosa, LM	3	длинная	Nom.Fem.Sing	_	_	_	_
довольный	_	A	A1	LM	1	доволен	Masc.Sing	_	_	_	_
довольный	_	A	A1	LM	2	довольны	Plur	_	_	_	_
довольный	_	A	A1	LM	3	довольный	Nom.Masc.Sing	_	_	_	_
доказывать	_	V	A1	LM	1	доказывать	Inf	_	_	_	_
доказывать	_	V	A1	LM	2	доказывает	Sing.3.Pres/Fut	_	_	_	_
доказывать	_	V	A1	LM	3	доказывал	Masc.Sing.Past	_	_	_	_
доктор	_	N.Masc.Anim	A1	Golosa, LM	1	доктор	Nom.Sing	_	_	_	_
доктор	_	N.Masc.Anim	A1	Golosa, LM	2	доктора	Nom.Plur	_	_	_	_
доктор	_	N.Masc.Anim	A1	Golosa, LM	3	доктору	Dat.Sing	_	_	_	_
домашний	_	A	A1	Golosa, LM	1	домашних	Gen.Plur	_	_	_	_
